2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::UnegisterEvent@528] call unregister event. socket excpetion event id[-1],Reconnect Event id[-1],--client[0000016940E0F8D0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::UnregisterHeartBeatTimer@556] call unregister heartbeat timer. timerid[-1],client[0000016940E0F8D0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::~CMQCommBaseClient@182] call ~CMQCommBaseClient,this[0000016940E0F8D0]---end

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::Disconnect@317] inter Disconnect HPR_AtomicAdd is 0,this[0000016940E129B0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::Disconnect@334] inter Disconnect ,this[0000016940E129B0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::UnegisterEvent@528] call unregister event. socket excpetion event id[0],Reconnect Event id[1],--client[0000016940E129B0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::UnregisterHeartBeatTimer@556] call unregister heartbeat timer. timerid[-1],client[0000016940E129B0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommSubject::~CMQCommSubject@19] call ~CMQCommSubject,this[0000016940E129B0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::Disconnect@317] inter Disconnect HPR_AtomicAdd is 0,this[0000016940E129B0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::Disconnect@334] inter Disconnect ,this[0000016940E129B0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::UnegisterEvent@528] call unregister event. socket excpetion event id[-1],Reconnect Event id[-1],--client[0000016940E129B0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::UnregisterHeartBeatTimer@556] call unregister heartbeat timer. timerid[-1],client[0000016940E129B0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommSubject::~CMQCommSubject@22] call ~CMQCommSubject,this[0000016940E129B0]---end

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::~CMQCommBaseClient@154] call ~CMQCommBaseClient,this[0000016940E129B0]

2026-01-09 14:15:51.763 INFO  [11552] [CMQCommBaseClient::~CMQCommBaseClient@156] call ~CMQCommBaseClient,this[0000016940E129B0]xxxx

